text,label
@SamaraAfzal @PaulPaul49 #Lockdown = ACT OF WAR AGAINST PEOPLE #HumanityIsNotAVirus #covid19= SCAM KILLING with #5G -REALITY https://t.co/Nml25DSGDH #Reopening #ReopenAmerica #ReopenWorld.,n
"Sweden is not fooled by #COVID19 scam, and its infection rate is lower. When will the rest of the world wake up? Only after people can no longer feed their families? #reopenamerica https://t.co/mSrjoN8ONI.",n
RT @NaazirRa: #ReopenAmerica - ban #5G - resurrect traditional values! Let's make America the greatest ever! #naazirra.,n
"@atrupar #trump and states like #Texas, under @GregAbbott_TX, looking to #ReopenAmerica. Seems they want elderly vulnerable #Veterans, who are losing comrades in state run facilities, to go back into battle - against #COVID. #texasmorons https://t.co/JcoA",y
"That is you, that is! #gregabbott We really don't need any more fear tactics, we see the inflated numbers, the empty hospitals, the lies of the left all over the media, as the y contradict each other. #reopenamerica.",n
The lack of push back against unconstitutional shutdowns by too many timid sheep does not bode well for any future authoritarian assaults on our basic freedoms #OPENAMERICANOW #TrumpPressConf #COVID19 #OpenOhio #ReopenAmerica #Trump #NRA #Ohiolockdown #ohiounemployment #Tucker.,n
I feel like @GavinNewsom is a borderline tyrant. Anyone else? #reopencalifornia #reopenamerica #trumpderangementsyndrome.,n
Morgan Stanley financial analysts warn Donald J Trump that relaxing containment measures against coronavirus & resuming business as usual too quickly could actually backfire. causing even worse damage to the economy Don't #reopenamerica during #covid19 https://t.co/NaJIxAPR6p.,y
"The difference between ""peaceful protest"" & ""dangerous threat,"" is melanin. #ReopenAmerica participants aren't protestors, they're domestic terrorists.",y
"People vote with their wallets. #ReOpenAmerica & STOP VOTING DEMOCRAT, STUPID. This #Panicdemic is ALL their doing to destroy America's & the world's economies and take down President @realDonaldTrump & YOU with it. #reopenamericanow https://t.co/iY1JK4n1JF.",n
@JoyAnnReid Millions of other Americans and myself have railed against the lockdown order and we're fine. #reopenamerica.,n
"@SenatorLoeffler @realDonaldTrump Trump rally first! Til he puts himself and his base on the line, he doesn't think America should reopen. He just wants to use us a lab rats. #reopenamerica.",n
"Today Trump announced his plans to #ReopenAmerica and the #DowJones is up by 10% already. Criticize him all you want, but he knows how to rally the markets positively.",n
"#America It's time to get a mask, wash your hands, pull up your big kid's pants and get back to work. We have an economy to rebuild and we can't spend another day being chickenshit about it. #coronavirus #fraud #ccpvirus #reopenamerica.",n
"#MayDay We're taking it back! It's a Pro-Commerce Event where people exercise their right to provide for families, peacefully assemble and pursue happiness. Open your businesses! #reopennc #reopenamerica #reopenus #civildisobedience https://t.co/bJ28ryb05j.",n
"@honor_dennis Agreed. At best, it is inherently unfair that some businesses get to make money hand-over-fist while millions of others go Tango-Uniform. #reopenamerica #shutdowntheshutdown.",n
".@realdonaldtrump please! Mr. President. Your supporters need you! Plan an #Easter rally! Make it the biggest one you've ever had! We will stand RIGHT beside you, not 6 feet! Resurrect America! #KAG #MAGA #americanresurrection #reopenamerica #foxnewstownhall #trump.",n
"@ConservaMomUSA @hankentwhistle Instead of #ReopenAmerica protests Just Do It reopen #ReopenArizona everyone get back to work just open your business's Walmart, Walgreens, Target, we can take personal responsibility follow Cold and Flu Season etiquette ..",n
Yesterday was the first day in the last month where the number of NEW cases of COVID-19 wasn't more than the previous day. The number of new deaths is still rising. It is not quite time to #ReopenAmerica that is just #TrumpMadness https://t.co/HJBKXs586i https://t.co/Ohum3KJBG1.,n
"@Doitwell01 @GovernorVA More likely to go bankrupt than be safe. https://t.co/tEQBHUxDfn But I guess that's what happens when you trade liberty for false security.... you deserve neither, and eventually lose both. #ReopenAmerica #ReopenVirginia.",n
"The shutdown is a socialists dream they can ban work, guns, FREE SPEECH!? This is why we have Trump God has made him the HAMMER! First to expose how far America has fallen... 2nd TO BREAK DOWN & DESTROY the political ruling class from these 50 states #ReopenAmerica #trump2020.",n
@realDonaldTrump Miserable ole #Trump is just having a tantrum since he didn't get his #GOPSlushFund yesterday so he wants to #ReopenAmerica to punish us w/death threats #DieForTheDow #GeneralStrike #COVID19 #COVIDIDIOTS #GOPBailoutScam #TrumptheWorstPres,n
"@seanhannity @AlexBerenson @BoSnerdley @BreitbartNews @greggutfeld @TeaParty_911 @TPPatriots We don't know how mani #COVID?19 infected or MR, but WE DO know how many hurt by #shutdown & 300M lose liberties #ReopenAmerica https://t.co/SwYBimylyh.",n
"@Walmart #mepolitics @GovJanetMills Falmouth Maine, elderly couple tried to purchase 2 pkgs of english muffins, cashier said the limit is 1 & removed the 2nd pkg from the belt. Thought the limit was 2?? This is getting pathetic. #reopenamerica #reopenmain",n
"#The100 on @netflix is a surprisingly phenomenal series. It also really makes today's humanity look very pathetic by willingly complying to ""shelter-in-place"" orders for a virus that kills only about 1/5000, mostly elderly individuals. #covid19 #reopenamerica https://t.co/HKZoY0Tpd4.",n
Now tell me once again #Coronavirus obedient ones why we're in house arrest prison and the criminals are not? What a scam. #reopenamerica.,n
#ReopenAmerica Cure is worse than disease. #AntifaTerrorists this is real #Fascism. You have opposed #Freedom. #liberateillinois #recalljb ?@jbpritzker is a #tyrant ? #standup2bullies #dumpdurbin ?@electmarkcurran? ?@darrenbaileyil? https://t.co/7TitNyTtDi.,n
@GovStitt @GregAbbott_TX @GovernorKayIvey @realDonaldTrump it's time to stop tossing money at this and #ReopenAmerica.,n
@NursingNotesUK @PaulPaul49 #Lockdown = ACT OF WAR AGAINST PEOPLE #HumanityIsNotAVirus #covid19= SCAM KILLING with #5G -REALITY https://t.co/Nml25DSGDH #reopening #reopenamerica #reopenworld.,n
What happened to the threats of closing permanently or fines or jail? @govmurphy @nygovcuomo @nycmayor Seems inconsistent (AGAIN) #reopenamerica.,n
I think there are very high odds that Dictator Whitmer has been spreading porkies about her right to breach the Constitution and the Bill of Rights in order to enslave the people of her state. Spreading freedom is what the protesters were doing. #scamdemic #reopenamerica.,n
"RT @JasonRobergeVA: NEW YORK STATE RALLY Tomorrow, April 16, noon State Capitol in Albany, NY #reopenamerica #reopennys RT and tag your�.",n
"@BrandonStraka ?? Love from #NoLockdownSweden Become #UNSILENT #WalkAway #ReopenAmerica #WWG1WGA VIDEO interview with Professor Johan Giesecke, one of the world's most senior epidemiologists and advisor to the Swedish Government. Why lockdowns are the wro",n
"Replying to @realDonaldTrump Your stupidity will cause the needless death of MILLIONS, all because your hotels are losing money. You, and the rest of the #COVIDIDIOTS who want to #ReopenAmerica too soon ARE THE PROBLEM that is worse than the ""cure.""",y
"Now it's May?! Call me crazy, but it almost seems the government is shrugging off accountability when it comes to the math & sources they used when deciding to implement a one size fits all lockdown that's decimating families and small businesses. #ReOpenMN #ReopenAmerica.",n
#Austin is partially reopening today! Texas baby! Heading out the door right now to go support some small-businesses... Stop the insanity and #ReopenAmerica now! https://t.co/OohLI5fqbP.,n
RT @GregMusselwhit3: We need politicians that will put #AmericaFirst. We can #ReopenAmerica responsibly and protect our vulnerable. More�.,n
"FREEDOM RALLY! Come stand with us tomorrow at 1PM in San Diego. #ReOpenCA #TimeToOpen @ReopenCa #ReopenAmerica #ReopenAmericaNow #ReOpenCalifornia If you are on Facebook, join the groups Reopen California. Similar Groups have formed for other states. https://t.co/7w5bPivtvM https://t.co/vvfds4LuB0.",n
@WBTV_News Absolutely but luckily we live on the TN/NC so we will be spending our money in TN and helping their economy. If WALMART can be open why can't every store if they follow the same guidelines. #reopenamerica #reopennc.,n
"Nobody should die because a rich person will, god forbid, be less rich if people stay safe at home. If boomers want to kill themselves so badly, a gun and a bullet to the head would be much faster. #reopenamerica #boomerremover.",y
You cannot shutdown the economic engine of the world for months based on questionable models and fear! The American people will not tolerate an open-ended halt to their lives. #reopennh #reopenamerica.,n
99.99% survival rate for healthy people under 50. Even in NYC. Now get your boot off my neck. @cagov @gavinnewsom #COVID19 #coronavirus #thursdaythoughts #endtheshutdown #reopenamerica.,y
"HAPPENING NOW!!! Reopen our country! Carson city, Nevada #reopennevada #WWG1WGA #nevada #sisolak #inittogether #qanon #recallsisolak #protestlockdown #operationnevada #wethepeople #reopenamerica @michaelbeatty3 @seancordicon @savannahfairfi1 @agstatestacker @gideonsarmy3001 https://t.co/CayN8Qefa4.",n
Thinking of #OperationGridlock as they get ready to protest to #ReopenMI. Best of luck from #ReopenNC you guys are true patriots today. #constitutionovercoronavirus #reopenamerica.,n
#stock market rebounds when #Covid_19 cases grow by less than expected. Worried about the market & economy? Don't rush to #ReopenAmerica. Control the outbreak. (test. Test. Test. Trace. Isolate. Treat.) Thanks @cepr_org vetting #COVID19 #EconTwitter research so quickly.,n
@funder PROTESTS BEING REMOVED FROM YOUTUBE!! Freedom of speech! This is AMERICA and #MichiganProtest is where we should STAND TOGETHER for our constitutional rights!! More of US than THEM! Let's fight! #reopenamerica #operationgridlock https://t.co/hWQFy,n
Lots of patriots demonstrating to #ReopenVirginia today. I was at the #LiberateMinnesota rally last week w/the big red #LewisForMN RV. Fighting #COVID__19 & gradually reopening are NOT binary choices! Our economic security/individual liberty are at stake. Time to #ReopenAmerica https://t.co/tNjaNbe7Kj.,n
"If we'll ""only"" have 1 to 2% of people die if we #ReopenAmerica as @realDonaldTrump wants that would be 3.3 to 6.6 million #Americans dead. 6,600,000 dead humans. #holocaust #coronaviruspandemic #MAGA #COVID19 #election2020 @GOP @thedemocrats @joebiden @CNN @nytimes @kenolin1.",y
The plot thickens!! #BillGatesIsNotOurFriend why would lockdown continue when the virus is declining. Oh!! Bill Gates wants everyone contained until he gets mandatory vaccines! Coercion!! @realdonaldtrump #plandemic #reopenamerica @govinslee.,n
"@RealMattCouch Fauci is a liar and a fraud. The lockdowns should be ended IMMEDIATELY. Not only are they illegal and unconstitutional, THEY DON'T EVEN WORK. https://t.co/pkeARLMC9q #endthelockdown #EndTheShutdown #LiberateAmerica #ReopenAmerica.",n
While there is a unconstitutional checkpoint coming into #Florida on #95S Why is it @GovRonDeSantis that American citizens must be singled out. If only you had fortitude like @BrianKempGA in #Georgia #ReopenAmerica #GreatAwakening #ConstitutionOverCoronavirus.,n
@jasserravalle Show the proof that keeping healthy people in lock-down is necessary or helpful? #openupamerica #mayday #reopenamerica #povertykills. https://t.co/QWqh8qvXeE.,n
@NC_Governor Let businesses open with social distancing rules. They too can easily do what Walmart and the grocery stores are doing! #reopenamerica #reopennc.,n
This is the antithesis of Freedom. #openupamerica #mayday #takeourcountryback #reopenamerica #liberateamerica #liberatevirginia #vaccinesarenottheanswer #billgatesisnotourfriend #firefauci #defundwho.,n
@dyro874 @realDonaldTrump No more stimulus bills we need to get back to work by Easter. We've been lied to about the #ChinaVirus none of the numbers add up it's been blown out of portion. #reopenamerica #letsgetbacktowork #americafirst.,n
@markmeadows @seanhannity @breitbartnews @scottpresler @ingrahamangle @teaparty_911 @tppatriots #walkaway ONLY we the people can #reopenamerica. We have the #Constitution #CommonSense and #Science on our side. https://t.co/mkOIS7sKNj.,n
"Hello. As we experience perilous and exciting times, we are seeing the uncovering of gross corruption, greed, negligence, incompetence and fraud. God said who can I send to carry out My will? I will LORD, I will! #reopenamerica #mayday #USA #openupamerica #america.",n
"Want to #ReopenAmerica Here's the ONLY plan that will not cost US 1000s of more deaths 1-#StayAtHome 2-Testing, Testing, Testing 3-treatment 4-contact tracing ALL 4 Then & only then can we can begin to resume some normality to our daily lives https://t.co/aNEBHhS2ZN.",y
Seriously considering moving to the state that open up first. #WuhanCoronaVirus #ReopenAmerica.,n
and #FauciFraud is there with her He's a Democrat! He's deep state #FireFauci and let's #ReopenAmerica for business!!!,y
"You know what I find hypocritical? When people argue not to reopen States. Really? States have been half open the whole time! If grocery stores, gas stations, fast foods, Walmart, Target & coffee shops were SAFE to stay open you're already half open! #reopenamerica.",n
By #GilbertMercier author of #TheOrwellianEmpire DON'T #ReopenMaryland #ReopenAmerica for the benefit of #ProfitsOverPeople #WallStreet #banksters & #Corporate interests. #stayathome #trump #whitesupremacy #evangelicals #devossedition #alexjones #COVID19 #COVID?19.,y
"Dear @POTUS! Enough is enough! There are many jobs which are inherently socially-distanced jobs, and can resume! #reopenamerica.",n
@GovernorVA do your models take into account the increased risk of depression and suicide? Do they take into account the destruction of our economy and small business? NO! Your models are designed to predict exactly what you want us to believe. #reopenvir,n
You want to #ReopenAmerica see this video before support such bullshit #CoronavirusLockdown is better for us.,y
To all the Democrats blabbing about keeping the economy shut down this is why it needs to reopen! #ReopenAmerica #coronavirus #AmericaFirst.,n
"@realDonaldTrump @SenJohnKennedy it's time to #ReopenAmerica. At risk individuals, rest homes and hot spot cities continue to self quarantine. Others should be able to return to normal life. Track the numbers and make informed decisions based on actual da",n
"Over 400,000 people went out to vote in-person in Wisconsin. It's 15 days later and Covid hospitalizations and new cases are going down (not up as the #democrat naysayers warned). We are being scammed. #reopenamerica https://t.co/JB0pQh1qJD.",n
I can't wait for @realDonaldTrump to restart our #economy... AGAIN! It will bounce back with a Vengeance #AmericaFirst #ReopenAmerica #MadeInAmerica.,n
"Riots in the streets, looting, and killing because #Democrats crashed the economy over PORKING the #RescueBill isn't a good way to survive this virus. We're going to #ReopenAMERICA without allowing Pelosi to blackmail us and you can sit in your ivory tower and stfu now.",n
@GovWhitmer Unemployment is set to hit 30%. Far higher than the Great Depression. Is it worth it? You don't amputate a limb when you get a cut because it might become infected. #Coronavirus #michiganshutdown #ReopenAmerica.,n
"If we're each at home, we're not together. Being PRESENT with each other is together. Technology solutions are a thin shadow of what the human psyche requires. #reopenamerica #civilliberties.",n
People out on the streets with assault rifles in America and states announcing reopening of businesses next week. Proper order. You won't get away with tyranny over there. Americans won't be bullied #ReopenAmerica #Coronavirus #CoronaBollocks #EndTheLockdown.,n
@FreedomWorks activists attending the #ReopenMI rally today! We must start petitioning for our Freedom NOW! #ReopenAmerica #ampFW.,n
Take back America! DO NOT COMPLY! #reopenamerica #democratsaredestroyingamerica #americafirst https://t.co/HvEtVC8YDB.,n
"@WhiteHouse @POTUS @realDonaldTrump People under 50 rarely catch or die from CV19, they are effectively immune ! Take them off lockdown to save the economy. Re-open shops, schools, offices and resturants for under 50's. Test/trace/quarantine any infected.",n
Quit lying to Nevadans @GovSisolak OPEN NEVADA!!! https://t.co/EFXTDixROf #OpenNevada #ReopenAmerica #Vegas @VitalVegas @SportsXMMA @RichieShipin @realDonaldTrump @mayoroflasvegas #MAGA #VegasShutdown #VegasBorn #SaturdayThoughts #WWG1WGA #ConstitutionOverCoronavirus.,n
"@realDonaldTrump @Mike_Pence @seanhannity @dbongino @IngrahamAngle @FoxNews @RudyGiuliani @DiamondandSilk Our world now, so much for our freedom and liberties. This was a slippery slope closing down for a virus, that was not much worse than the flu. #reop",n
@TruthNoLiesEver @GavinNewsom If u are so scared of death . STAY HOME AND OUT OF OUR WAY . We the ones that are not scared shouldnt have to suffer for your fears . Why do people want to shove their view down other peoples throat ? #coronavirushoax #reopen,n
@StepNTyne @GavinNewsom @CAgovernor WE THE PEOPLE DEMAND OUR COUNTRY OPEN! This is unconstitutional and we have been LIED TO. https://t.co/HwUkncV0nj #operationgridlock #reopenamerica PROTEST for our FREEDOM back now!! WE DO NOT CONSENT! We demand truth! ,n
Texas Gov Abbott doesn't need to be told twice... ... #Democrats like California's Newsome and New York's Cuomo should be taking notes. #MAGA #ReopenAmerica #BackToWorkNOW.,n
#ReopenAmerica and don't watch this Sh*t head.,n
Join your state rally on May/1!!! #openupamerica #mayday #takeourcountryback #reopenamerica.,n
"Precautions, fine! But #reopenamerica @TheDemocrats are playing politics with the rescue bill. I'm out of work because of this, Can't see unemployment status, site says it's down, Can't look for another job because of the stay at home order. Dems you're bleeding us to death! https://t.co/uDBUCOBWRP.",n
"Every Governor, Legislator or Physician who recommends keeping the economy shut down should forfeit their paychecks until it reopens #COVID19 #ReopenAmerica #ReopenAmericaNow.",n
"Folks, #ItIsUpToUs! This infringement on our rights is what recall petitions, injunctions, & lawsuits are for. Be civil, respectful and peaceful at all times! Get started now. #betheactivist #takebackamerica #1A #2a #tcot #ccot #riseup #liberty #covidfascism #reopenamerica https://t.co/VowgyPpM6l.",n
#OperationGridlock #ReopenAmericaNow !!! Recall @GovWhitmer Then #ReopenAmerica.,n
@Wyn1745 @MagaUnite11 @NSAGov @POTUS This is Populist regime change Masters at work Break the bonds Patriots #reopenamerica https://t.co/G5P1xFwuZf.,n
Why is #ReopenAmerica trending?!? This goes directly against all advice from MEDICAL PROFESSIONALS. How is our country handling this the worst? I'd really like to not die.,y
"#ReopenAmerica yes a thousand times, cut the bullsh! t you were given your two week ""flatten the curve"" shutdown and its already brought America to its knees the threat level isn't high and continuing down this path isn't helping anyone...pass the stimulus and lets get to work.",n
#ReopenAmerica oh and Faceless DUANE tell that to The maggot #Antifa #TheResistance that listen to you . #MAGA.,n
"As businesses fail and futures ruined, we have reached the point where these draconian intrusions on our way of life transcend politics and lifestyle. Yes, @elonmusk, we want our freedom back. Before it's too late. #reopenamerica https://t.co/sG3blCng2R.",n
It is a FALSE to ARGUE against Trump's Plan to #REOPENAMERICA because YOU Do Not want to Go BACK to WORK No One is going to FORCE You to Go BACK to WORK You can STAY HOME and NOT WORK But the AMERICANS who want to Go BACK to WORK MUST be allowed TO DO SO! @realDonaldTrump.,n
"@YahooNews these are authentic gatherings by sincere #Americans. I've been to 2 protesting #DictatorInslee. No one claims spontaneity; any gathering requires organizing. But these events aren't staged, only Liberals get paid to rally. #medialies #reopenam",n
@jaketapper #ReopenAmerica 80% will have mild or no symptoms. Isolate those at high risk and provide necessities and comfort. Let the herd immunity start working. #coronavirus #usa #covid19 #NYC #florida.,n
"@TheLeadCNN @jaketapper Hey @jaketapper be truthful ANYTHING Our President wants to do, you and your Cabal would be against. So we #ReopenAmerica starting today. You stay HOME.",n
"@MissCandyKiss @DanPatrick @GOP My grandparents are 87/88. They survived war, the Great Depression, and measles. They are more worried about economic collapse than a flu like virus with low death rates. Millions of older folks feel the same way. #reopenam",n
@sav_says_ PROTESTS BEING REMOVED FROM YOUTUBE!! Freedom of speech! This is AMERICA and #MichiganProtest is where we should STAND TOGETHER for our constitutional rights!! More of US than THEM! Let's fight! #reopenamerica #operationgridlock https://t.co/hW,n
"Anyone with a JOB is deemed essential by the consumer who purchases their service.... #ReopenAmerica Let's get back to work! SMARTLY! We need to be like our heros - cops, nurse, emt, cashiers, grocers, drive-thru food, WE CAN DO THIS!!!!",n
Oregon's George Soros(D) appointed Gov extends 'Cower-In-Place' order to July 7th... because 100 people have died in 120 days... #democratsliedpeopledied #reopenamerica #reopenamericanow #endthelockdown #endthelockdownnow #endtheshutdown #endtheshutdownnow https://t.co/qWA0UCJeDZ.,n
But #Antifa still runs free. I fucking hate the government #EndTheShutdown #endthelockdownnow #ReopenAmerica #ReopenAmericaNow.,n
Time For The United States Take Back The World's Power #OPENAMERICANOW #ReopenAmerica #AmericaFirst #AmericasGreatestComeback #TAKEOVER https://t.co/NNISINUfLz.,n
"There will be more angry, peaceful uprisings like the #MichiganProtest (hopefully). Americans will stop the totalitarian power grab by elected politicians. #coronavirus #reopenamerica #endtheshutdown.",n
